Row,z_1,z_2
0,0.6983026739311952,-1.5978181671837148
1,0.3383898514237722,-1.1845297787878573
2,0.39860304860140594,-0.7420105641615128
3,1.1837223670220045,-1.0539593041943844
4,1.6800306253982586,-1.6611145245676453
5,1.1039985828610352,-1.5830233611488296
6,,
7,0.08143632187780828,-0.24876620955720216
8,0.3107930003017818,0.6705120165937827
9,0.7781418398384555,0.12856849105077953
10,1.2128900086800163,0.27548038115775125
11,1.3040444256163695,-0.18351206164395523
12,0.39860304860140594,-0.7420105641615128
