Row,Area_Good_Normalized,Density_Good_Normalized,Purity_Good,Area_Best_Normalized,Density_Best_Normalized,Purity_Best
ada_boost,0.5718540296770199,1.348995602713983,1.0,0.0,0.0,0
bagging,0.3652543304536846,1.5644676155346235,1.0,0.0,0.0,0
bayesian_ard,0.5718540296770199,1.348995602713983,1.0,0.0,0.0,0
decision_tree,0.5104641960211043,1.2873436810359342,1.0,0.0,0.0,0
extra_tree,0.5104641960211043,1.2873436810359342,1.0,0.0,0.0,0
gradient_boosting,0.3652543304536846,1.5644676155346235,1.0,0.0,0.0,0
mlp,0.5718540296770199,1.348995602713983,1.0,0.0,0.0,0
passive_aggressive,0.19069130319173436,1.4983078983261688,1.0,0.0,0.0,0
random_forest,0.3652543304536846,1.5644676155346235,1.0,0.0,0.0,0
sgd,0.0,0.0,0.0,0.0,0.0,0
svr_epsilon,0.5104641960211043,1.2873436810359342,1.0,0.0,0.0,0
svr_linear,0.5718540296770199,1.348995602713983,1.0,0.0,0.0,0
svr_nu,0.3652543304536846,1.5644676155346235,1.0,0.0,0.0,0
instance_easiness,1.0,1.0,1.0,0.0,0.0,0
